#  E (eV)   dos(E)     Int dos(E)
 -2.986  0.8024E+00  0.1303E+01
 -2.976  0.7960E+00  0.1311E+01
 -2.966  0.7898E+00  0.1318E+01
 -2.956  0.7840E+00  0.1326E+01
 -2.946  0.7784E+00  0.1334E+01
 -2.936  0.7731E+00  0.1342E+01
 -2.926  0.7681E+00  0.1350E+01
 -2.916  0.7633E+00  0.1357E+01
 -2.906  0.7588E+00  0.1365E+01
 -2.896  0.7547E+00  0.1372E+01
 -2.886  0.7508E+00  0.1380E+01
 -2.876  0.7460E+00  0.1387E+01
 -2.866  0.7411E+00  0.1395E+01
 -2.856  0.7364E+00  0.1402E+01
 -2.846  0.7319E+00  0.1409E+01
 -2.836  0.7275E+00  0.1417E+01
 -2.826  0.7232E+00  0.1424E+01
 -2.816  0.7191E+00  0.1431E+01
 -2.806  0.7150E+00  0.1438E+01
 -2.796  0.7111E+00  0.1445E+01
 -2.786  0.7073E+00  0.1452E+01
 -2.776  0.7037E+00  0.1459E+01
 -2.766  0.7001E+00  0.1466E+01
 -2.756  0.6968E+00  0.1473E+01
 -2.746  0.6936E+00  0.1480E+01
 -2.736  0.6905E+00  0.1487E+01
 -2.726  0.6876E+00  0.1494E+01
 -2.716  0.6848E+00  0.1501E+01
 -2.706  0.6822E+00  0.1508E+01
 -2.696  0.6797E+00  0.1515E+01
 -2.686  0.6774E+00  0.1521E+01
 -2.676  0.6750E+00  0.1528E+01
 -2.666  0.6726E+00  0.1535E+01
 -2.656  0.6702E+00  0.1542E+01
 -2.646  0.6677E+00  0.1548E+01
 -2.636  0.6652E+00  0.1555E+01
 -2.626  0.6627E+00  0.1561E+01
 -2.616  0.6601E+00  0.1568E+01
 -2.606  0.6574E+00  0.1575E+01
 -2.596  0.6547E+00  0.1581E+01
 -2.586  0.6520E+00  0.1588E+01
 -2.576  0.6492E+00  0.1594E+01
 -2.566  0.6464E+00  0.1601E+01
 -2.556  0.6435E+00  0.1607E+01
 -2.546  0.6406E+00  0.1614E+01
 -2.536  0.6377E+00  0.1620E+01
 -2.526  0.6359E+00  0.1626E+01
 -2.516  0.6372E+00  0.1633E+01
 -2.506  0.6415E+00  0.1639E+01
 -2.496  0.6488E+00  0.1646E+01
 -2.486  0.6590E+00  0.1652E+01
 -2.476  0.6723E+00  0.1659E+01
 -2.466  0.6828E+00  0.1666E+01
 -2.456  0.6134E+00  0.1672E+01
 -2.446  0.6111E+00  0.1678E+01
 -2.436  0.6088E+00  0.1684E+01
 -2.426  0.6065E+00  0.1690E+01
 -2.416  0.6042E+00  0.1696E+01
 -2.406  0.6018E+00  0.1702E+01
 -2.396  0.5994E+00  0.1708E+01
 -2.386  0.5969E+00  0.1714E+01
 -2.376  0.5945E+00  0.1720E+01
 -2.366  0.5920E+00  0.1726E+01
 -2.356  0.5895E+00  0.1732E+01
 -2.346  0.5869E+00  0.1738E+01
 -2.336  0.5844E+00  0.1744E+01
 -2.326  0.5818E+00  0.1749E+01
 -2.316  0.5791E+00  0.1755E+01
 -2.306  0.5765E+00  0.1761E+01
 -2.296  0.5738E+00  0.1767E+01
 -2.286  0.5711E+00  0.1772E+01
 -2.276  0.5684E+00  0.1778E+01
 -2.266  0.5657E+00  0.1784E+01
 -2.256  0.5629E+00  0.1789E+01
 -2.246  0.5601E+00  0.1795E+01
 -2.236  0.5572E+00  0.1801E+01
 -2.226  0.5544E+00  0.1806E+01
 -2.216  0.5515E+00  0.1812E+01
 -2.206  0.5498E+00  0.1817E+01
 -2.196  0.5489E+00  0.1823E+01
 -2.186  0.5479E+00  0.1828E+01
 -2.176  0.5461E+00  0.1834E+01
 -2.166  0.5439E+00  0.1839E+01
 -2.156  0.5414E+00  0.1844E+01
 -2.146  0.5387E+00  0.1850E+01
 -2.136  0.5357E+00  0.1855E+01
 -2.126  0.5324E+00  0.1860E+01
 -2.116  0.5289E+00  0.1866E+01
 -2.106  0.5251E+00  0.1871E+01
 -2.096  0.5210E+00  0.1876E+01
 -2.086  0.5158E+00  0.1881E+01
 -2.076  0.5091E+00  0.1886E+01
